local,ages,sex,race,fips,pop
Accomack,0-9,Female,Asian or Pacific Islander,51001,12
Accomack,0-9,Female,Black,51001,602
Accomack,0-9,Female,Latino,51001,361
Accomack,0-9,Female,Native American,51001,4
Accomack,0-9,Female,White,51001,788
Accomack,0-9,Male,Asian or Pacific Islander,51001,19
Accomack,0-9,Male,Black,51001,713
Accomack,0-9,Male,Latino,51001,387
Accomack,0-9,Male,Native American,51001,6
Accomack,0-9,Male,White,51001,775
Accomack,10-19,Female,Asian or Pacific Islander,51001,27
Accomack,10-19,Female,Black,51001,603
Accomack,10-19,Female,Latino,51001,291
Accomack,10-19,Female,Native American,51001,3
Accomack,10-19,Female,White,51001,822
Accomack,10-19,Male,Asian or Pacific Islander,51001,18
Accomack,10-19,Male,Black,51001,682
Accomack,10-19,Male,Latino,51001,305
Accomack,10-19,Male,Native American,51001,5
Accomack,10-19,Male,White,51001,903
Accomack,20-29,Female,Asian or Pacific Islander,51001,24
Accomack,20-29,Female,Black,51001,530
Accomack,20-29,Female,Latino,51001,179
Accomack,20-29,Female,Native American,51001,5
Accomack,20-29,Female,White,51001,820
Accomack,20-29,Male,Asian or Pacific Islander,51001,14
Accomack,20-29,Male,Black,51001,530
Accomack,20-29,Male,Latino,51001,225
Accomack,20-29,Male,Native American,51001,6
Accomack,20-29,Male,White,51001,835
Accomack,30-39,Female,Asian or Pacific Islander,51001,23
Accomack,30-39,Female,Black,51001,583
Accomack,30-39,Female,Latino,51001,208
Accomack,30-39,Female,Native American,51001,8
Accomack,30-39,Female,White,51001,881
Accomack,30-39,Male,Asian or Pacific Islander,51001,21
Accomack,30-39,Male,Black,51001,525
Accomack,30-39,Male,Latino,51001,275
Accomack,30-39,Male,Native American,51001,5
Accomack,30-39,Male,White,51001,859
Accomack,40-49,Female,Asian or Pacific Islander,51001,24
Accomack,40-49,Female,Black,51001,520
Accomack,40-49,Female,Latino,51001,165
Accomack,40-49,Female,Native American,51001,5
Accomack,40-49,Female,White,51001,1023
Accomack,40-49,Male,Asian or Pacific Islander,51001,28
Accomack,40-49,Male,Black,51001,417
Accomack,40-49,Male,Latino,51001,212
Accomack,40-49,Male,Native American,51001,7
Accomack,40-49,Male,White,51001,953
Accomack,50-59,Female,Asian or Pacific Islander,51001,18
Accomack,50-59,Female,Black,51001,711
Accomack,50-59,Female,Latino,51001,91
Accomack,50-59,Female,Native American,51001,7
Accomack,50-59,Female,White,51001,1477
Accomack,50-59,Male,Asian or Pacific Islander,51001,15
Accomack,50-59,Male,Black,51001,565
Accomack,50-59,Male,Latino,51001,116
Accomack,50-59,Male,Native American,51001,11
Accomack,50-59,Male,White,51001,1373
Accomack,60-69,Female,Asian or Pacific Islander,51001,17
Accomack,60-69,Female,Black,51001,737
Accomack,60-69,Female,Latino,51001,29
Accomack,60-69,Female,Native American,51001,8
Accomack,60-69,Female,White,51001,2005
Accomack,60-69,Male,Asian or Pacific Islander,51001,8
Accomack,60-69,Male,Black,51001,667
Accomack,60-69,Male,Latino,51001,61
Accomack,60-69,Male,Native American,51001,8
Accomack,60-69,Male,White,51001,1753
Accomack,70-79,Female,Asian or Pacific Islander,51001,14
Accomack,70-79,Female,Black,51001,352
Accomack,70-79,Female,Latino,51001,18
Accomack,70-79,Female,Native American,51001,11
Accomack,70-79,Female,White,51001,1539
Accomack,70-79,Male,Asian or Pacific Islander,51001,5
Accomack,70-79,Male,Black,51001,257
Accomack,70-79,Male,Latino,51001,11
Accomack,70-79,Male,Native American,51001,7
Accomack,70-79,Male,White,51001,1364
Accomack,80+,Female,Asian or Pacific Islander,51001,3
Accomack,80+,Female,Black,51001,230
Accomack,80+,Female,Latino,51001,8
Accomack,80+,Female,Native American,51001,7
Accomack,80+,Female,White,51001,795
Accomack,80+,Male,Asian or Pacific Islander,51001,4
Accomack,80+,Male,Black,51001,117
Accomack,80+,Male,Latino,51001,13
Accomack,80+,Male,Native American,51001,6
Accomack,80+,Male,White,51001,642
Albemarle,0-9,Female,Asian or Pacific Islander,51003,309
Albemarle,0-9,Female,Black,51003,682
